"Order","Method","Time"
2,"Assembled.matrix",0.046
3,"Assembled.matrix",0.173
4,"Assembled.matrix",0.245
5,"Assembled.matrix",0.507
6,"Assembled.matrix",0.701
7,"Assembled.matrix",1.388
8,"Assembled.matrix",2.008
9,"Assembled.matrix",3.197
10,"Assembled.matrix",4.289
11,"Assembled.matrix",6.486
12,"Assembled.matrix",8.683
13,"Assembled.matrix",11.421
14,"Assembled.matrix",14.986
15,"Assembled.matrix",19.275
16,"Assembled.matrix",26.667
17,"Assembled.matrix",29.646
18,"Assembled.matrix",40.771
19,"Assembled.matrix",52.521
20,"Assembled.matrix",66.425
21,"Assembled.matrix",120.745
22,"Assembled.matrix",163.804
23,"Assembled.matrix",181.166
2,"Matrix.free.tensor.product",2.101
3,"Matrix.free.tensor.product",2.541
4,"Matrix.free.tensor.product",3.233
5,"Matrix.free.tensor.product",4.298
6,"Matrix.free.tensor.product",5.751
7,"Matrix.free.tensor.product",7.376
8,"Matrix.free.tensor.product",9.101
9,"Matrix.free.tensor.product",10.828
10,"Matrix.free.tensor.product",13.327
11,"Matrix.free.tensor.product",15.478
12,"Matrix.free.tensor.product",16.994
13,"Matrix.free.tensor.product",20.315
14,"Matrix.free.tensor.product",22.486
15,"Matrix.free.tensor.product",25.33
16,"Matrix.free.tensor.product",28.296
17,"Matrix.free.tensor.product",32.008
18,"Matrix.free.tensor.product",33.476
19,"Matrix.free.tensor.product",36.331
20,"Matrix.free.tensor.product",39.297
21,"Matrix.free.tensor.product",47.772
22,"Matrix.free.tensor.product",49.147
23,"Matrix.free.tensor.product",55.032
2,"Matrix.free.single.loop",2.109
3,"Matrix.free.single.loop",2.017
4,"Matrix.free.single.loop",3.284
5,"Matrix.free.single.loop",4.409
6,"Matrix.free.single.loop",5.762
7,"Matrix.free.single.loop",6.585
8,"Matrix.free.single.loop",8.8
9,"Matrix.free.single.loop",10.027
10,"Matrix.free.single.loop",13.042
11,"Matrix.free.single.loop",14.978
12,"Matrix.free.single.loop",17.379
13,"Matrix.free.single.loop",20.481
14,"Matrix.free.single.loop",23.162
15,"Matrix.free.single.loop",25.5
16,"Matrix.free.single.loop",30.471
17,"Matrix.free.single.loop",33.903
18,"Matrix.free.single.loop",37.837
19,"Matrix.free.single.loop",40.313
20,"Matrix.free.single.loop",46.705
21,"Matrix.free.single.loop",51.238
22,"Matrix.free.single.loop",55.345
23,"Matrix.free.single.loop",58.255
